,Temperature,Humidity,Pressure,Sea_level_pressure,Altitude,Noise_level,Light_intensity,Time
0,21.7,16.0,1006.00,100698.00,0.52,64.84,526.0,14:52:57
0,21.2,18.0,1007.00,100704.00,0.52,45.74,547.0,14:53:05
0,21.2,18.0,1007.00,100707.00,0.51,51.67,418.0,14:53:23
0,21.15,18.0,1006.00,100700.00,0.53,47.65,483.0,14:53:51
0,21.15,18.0,1006.00,100700.00,0.52,47.70,520.0,14:53:59
0,21.2,18.0,1007.00,100701.00,0.52,48.32,458.0,14:54:15
0,21.2,17.0,1007.00,100700.00,0.52,50.51,458.0,14:54:51
0,21.15,18.0,1007.00,100710.00,0.52,46.19,479.0,14:54:57
0,21.2,17.0,1007.00,100703.00,0.51,46.46,470.0,14:55:16
0,21.2,18.0,1007.00,100709.00,0.52,45.96,560.0,14:55:38
0,21.15,18.0,1007.00,100712.00,0.52,46.19,445.0,14:55:55
0,21.15,18.0,1007.00,100706.00,0.52,56.60,525.0,14:56:23
0,21.2,17.0,1007.00,100712.00,0.52,57.51,418.0,14:56:53
0,21.15,18.0,1007.00,100715.00,0.52,46.24,462.0,14:57:02
0,19.2,16.0,1007.00,100712.00,0.52,46.56,477.0,14:57:25
0,21.2,18.0,1007.00,100722.00,0.52,57.42,364.0,14:57:38
0,21.2,18.0,1007.00,100715.00,0.51,47.97,447.0,14:57:58
0,21.2,18.0,1007.00,100709.00,0.51,47.46,480.0,14:58:36
0,21.2,18.0,1007.00,100713.00,0.51,52.40,482.0,14:58:44
0,21.2,18.0,1007.00,100719.00,0.51,54.80,516.0,14:58:55
0,21.15,18.0,1007.00,100713.00,0.51,46.87,444.0,14:59:28
0,21.2,17.0,1007.00,100713.00,0.51,46.77,483.0,14:59:35
0,21.2,18.0,1007.00,100712.00,0.51,46.46,454.0,15:00:03
0,21.15,17.0,1007.00,100719.00,0.51,45.96,484.0,15:00:16
0,21.15,18.0,1007.00,100715.00,0.51,46.40,459.0,15:00:43
0,21.15,18.0,1007.00,100721.00,0.50,63.08,451.0,15:00:55
0,21.15,18.0,1007.00,100723.00,0.50,55.45,525.0,15:01:15
0,21.15,18.0,1007.00,100718.00,0.51,51.46,488.0,15:01:53
0,21.15,17.0,1007.00,100728.00,0.50,50.91,484.0,15:02:14
